,clusters,mean
DPP6,5,0.021140157035235172
INSIG1,3,0.07086799074865045
WDR60,1,0.10038676485698991
VIPR2,7,0.007491645724312926
DLGAP2,10,0.03618206450316105
MYOM2,14,0.014300402606323074
AC246817.1,5,0.013349005765416666
AC022784.1,1,0.10215545598389486
AC034111.2,0,0.0031639047340017244
BLK,24,0.0214038011773045
CTSB,2,0.2765034344126297
MSR1,21,0.17800613133576043
AC011586.2,10,0.011086320482474397
SLC7A2,13,0.11629113199687421
FGL1,5,0.10907071145929705
AC100849.1,2,0.14127970928104264
CSGALNACT1,22,0.09056856654056547
GFRA2,8,0.06975406892430253
SLC39A14,1,0.12909623374226298
EGR3,0,0.00219599053912122
ADAM28,11,0.041194743577101546
AC120193.1,11,0.029292844774441083
CLU,0,0.07925085586707802
AC013643.2,5,0.004058354180319348
DUSP4,13,0.002386001373634467
LEPROTL1,1,0.12351236746333333
NRG1,8,0.09399399811507661
ZMAT4,1,0.0061905643575908146
ANK1,23,0.008357349867021649
ST18,11,0.024811485654098357
LYN,17,0.39174617285588986
PLAG1,13,0.012635797566473855
AC104051.1,0,0.0016963426132997792
TOX,4,0.3489411599970355
MYBL1,16,0.31287406712227006
CPA6,13,0.007421883637770753
SLCO5A1,6,0.004053567001236899
MSC-AS1,4,0.05514986276201579
CASC9,0,0.0035571033948402207
PKIA-AS1,23,0.010096675578612067
AC083837.1,17,0.07052830777398862
CHMP4C,0,0.0028136320851062523
AC015522.1,3,0.001378591318100966
RALYL,4,0.030155571699556964
AC090578.1,15,0.0063771507256442685
NECAB1,18,0.0024019789477660283
GEM,11,0.002448057385960201
CCNE2,5,0.005557819859573706
SDC2,6,0.10225572080618438
RGS22,18,0.0014041512376305758
NCALD,23,0.33021374639627216
RSPO2,0,0.0017557437844209567
EXT1,2,0.7801731519507775
AC023590.1,2,0.09422840676156083
SAMD12-AS1,23,0.008922216902389602
ENPP2,9,0.05534408814891199
MTSS1,3,0.6307948574652449
AC016074.2,22,0.124251176782797
LINC00861,12,0.25119177932402637
PCAT1,7,0.25406306716782306
CASC19,13,0.042245782483587936
CASC8,7,0.012975814674404501
AC104370.1,25,0.007681512455722922
AC108925.1,20,0.0073337537582843105
PVT1,4,0.2546403093935129
LINC00824,15,0.007286429607581085
CCDC26,11,0.27579612333203274
ADCY8,3,0.0024994336349289173
KCNQ3,4,0.034312913218395455
LRRC6,0,0.011986435501730796
LINC02055,13,0.0282070005943319
FAM135B,6,0.0042986871414692806
DENND3,2,0.13425995672148
SLC45A4,5,0.06047735222480371
